Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Schnucks Fenton,"45 Gravois Bluffs Plaza Drive, Fenton, MO 63026, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5076161,-90.4475027,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Westfall Plaza,"8037 West Florissant Avenue, Jennings, MO 63136, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7292979,-90.2743293,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Ladue,"8867 Ladue Rd, Ladue, MO 63124, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6562455,-90.3541878,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Arsenal,"5055 Arsenal Street, St. Louis, MO  63139, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6069446,-90.2741476,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Twin Oaks,"1393 Big Bend, Suite 1, Ballwin, MO 63021, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5694602,-90.4985004,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Lindbergh,"10275 Clayton Rd, St. Louis, MO  63124, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6342573,-90.4049098,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Seven Hills,"907 East Hwy 50, O'Fallon, IL 62269, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5834689,-89.8965197,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Bridgeton,"11253 St. Charles Rock Rd, Bridgeton, MO 63044, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7407993,-90.4003703,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Cross Keys,"13987 New Halls Ferry Rd, Florissant, MO 63033, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.8067683,-90.3013075,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Sierra Vista,"1589 Sierra Vista Plaza, St. Louis, MO 63138, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7716218,-90.2194834,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Edwardsville,"2222 Troy Rd, Edwardsville, IL 62025, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7857157,-89.9485295,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Rockford Plaza,"2642 Charles Street, Rockford, IL 61108, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.2614113,-89.0537333,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Richmond Center,"6600 Clayton Rd, Clayton, MO 63117, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6335518,-90.315441,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks East State,"6410 E. State Street, Rockford, IL 61108, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.2703479,-88.9919352,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Providence,"111 S. Providence Rd , Columbia , MO 65203, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.9501582,-92.3356652,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Eureka,"245 E 5th Street, Eureka, MO 63025, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.506774,-90.6198969,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Woods Mill,"1060 Woods Mill Rd, Town and Country, MO 63017, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6230103,-90.5137021,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Lindenwood,"1900 1st Capitol Drive, St. Charles, MO 63301, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7823728,-90.5010822,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Savoy,"1301 Savoy Plaza Lane, Savoy, IL 61874, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.0705142,-88.2520503,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Champaign,"109 N. Mattis Rd, Champaign, IL 61821, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.1170124,-88.2788105,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Crestwood,"9540 Watson Rd, St. Louis , MO 63126, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5571789,-90.3787595,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Montvale,"2801 Chatham Rd, Springfield, IL 62704, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",39.7679371,-89.6883417,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Loves Park,"1810 Harlem Rd, Loves Park, IL 61111, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.3414381,-89.0306403,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Urbana,"200 N Vine Street, Urbana , IL 61802, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.1137976,-88.2038102,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Brentwood,"8800 Manchester Rd, Brentwood , MO 63144, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6114876,-90.3504199,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Hampton Village,"60 Hampton Village Plaza, St. Louis , MO 63109, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5922139,-90.2924057,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Chesterfield,"141 Hilltown Village Center, Chesterfield, MO 63017, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6589367,-90.5531968,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Des Peres,"12332 Manchester Rd, Des Peres, MO 63131, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6015031,-90.4421284,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Dorsett,"2030 Dorsett Rd, Maryland Heights, MO 63043, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7159839,-90.4563135,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Belleville West,"5720 North Belt West, Belleville, IL 62223, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5408134,-90.0344032,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Butler Hill,"4333 Butler Hill Rd, St. Louis, MO 63128, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.4867469,-90.3580665,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Swansea,"2665 N. Illinois Street, Swansea, IL 62226, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5424587,-89.9851346,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Cape Girardeau,"19 S Kingshighway, Cape Girardeau, MO 63703, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",37.3051899,-89.5540965,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Lawndale,"5000 Washington Ave, Evansville, IN 47715, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",37.9628829,-87.4905727,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Darmstadt,"600 E Boonville-New Harmony Rd, Evansville , IN 47725, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.0956439,-87.5529435,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Union,"401 Central Avenue, Union, MO 63084, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.455918,-91.0049291,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Roscoe,"4860 Hononegah Rd, Roscoe, IL 61073, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.4325116,-89.0201714,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Richardson Road,"3900 Vogel Rd, Arnold, MO 63010, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.4160438,-90.394629,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Webster Groves,"8650 Big Bend Blvd, St. Louis, MO 63119, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.582778,-90.3567484,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Lake St. Louis,"101 Civic Center Dr, Lake St Louis, MO 63367, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7846565,-90.7968239,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Affton,"10070 Gravois Rd, St. Louis, MO 63123, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5491995,-90.336307,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Washington,"2073 Washington Crossing, Washington, MO 63090, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5359743,-91.0082167,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Wentzville Crossing,"1960 Wentzville Pkwy, Wentzville, MO 63385, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.8145954,-90.8736953,38.738523,-90.3304905,38.6534191,-90.1888562
Schnucks Godfrey,"2712 Godfrey Rd, Godfrey, IL 62035, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.9234722,-90.1940025,38.738523,-90.3304905,38.6534191,-90.1888562
Maryville University,"650 Maryville University Drive , St. Louis, MO 63141, USA","650 Maryville University Dr, Town and Country, MO 63141","72 Produce Row, St Louis, MO 63102",38.6453414,-90.5057015,38.6453414,-90.5057015,38.6534191,-90.1888562
Crop's Fresh Marketplace,"1257 Horseshoe Pike , Downingtown, PA 19335, USA","1257 Horseshoe Pike, Downingtown, PA 19335","400 Wabash Road, Ephrata, PA 17522",40.0370769,-75.7683995,40.0370769,-75.7683995,40.2076711,-76.1532554
Schnucks Cherry Valley,"2206 Barnes Blvd, Rockford, IL 61112, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.2431076,-88.9775845,38.738523,-90.3304905,38.6534191,-90.1888562
Coborn's Sauk Rapids,"110 1st St S SAUK RAPIDS, S Sauk Rapids, MN 56379, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.5873786,-94.1637517,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Clearwater,"705 County Road 75 NW, Clearwater, MN 55320, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.4154858,-94.0524504,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Princeton,"1100 7th Ave South, Princeton, MN 55371, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.559044,-93.5833187,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Elk River,"19425 Evans St NW, Elk River, MN 55330, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.3190581,-93.5574733,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Albertville,"5698 La Centre Ave NE, Albertville, MN 55301, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.2334181,-93.6625184,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Ramsey,"7900 Sunwood Dr NW, Ramsey, MN 55303, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.2346948,-93.4684197,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Isanti,"209 6th Avenue Northeast, Isanti, MN 55040, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.4909715,-93.2351954,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Otsego,"15700 88th St NE, Ostego, MN 55330, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.280123,-93.5673082,45.457926,-94.109887,38.6534191,-90.1888562
Marketplace Foods Rice Lake,"330 S Main St, Rice Lake, WI 54868, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.4954096,-91.7352927,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Willmar,"1300 5th St Southeast, Willmar, MN 56201, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.1100117,-95.0400405,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Waite Park,"113 South Waite Avenue, Waite Park, MN 56387, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.5512104,-94.2152841,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Hutchinson,"1020 Highway 15 South, Hutchinson, MN 55350, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",44.877505,-94.3791638,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Fargo - 13th Ave,"1401 33rd St South, Fargo, ND 58103, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8590758,-96.8339833,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Dickinson,"1761 3rd Avenue West, Dickinson, ND 58601, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.901455,-102.7921644,45.457926,-94.109887,38.6534191,-90.1888562
