Name,DC or DSD,Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Schnucks Arsenal - Picadeli # 9899 / Customer # 149,DC,Schnucks Arsenal,"5055 Arsenal Street, St. Louis, MO  63139, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6069446,-90.2741476,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Twin Oaks - Picadeli # 9839 / Customer # 173,DC,Schnucks Twin Oaks,"1393 Big Bend, Suite 1, Ballwin, MO 63021, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5694602,-90.4985004,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Lindbergh - Picadeli # 9898 / Customer # 180,DC,Schnucks Lindbergh,"10275 Clayton Rd, St. Louis, MO  63124, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6342573,-90.4049098,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Seven Hills - Picadeli # 9914 / Customer # 177,DC,Schnucks Seven Hills,"907 East Hwy 50, O'Fallon, IL 62269, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5834689,-89.8965197,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Bridgeton - Picadeli # 9908 / Customer # 191,DC,Schnucks Bridgeton,"11253 St. Charles Rock Rd, Bridgeton, MO 63044, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7407993,-90.4003703,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Cross Keys - Picadeli # 9901 / Customer # 198,DC,Schnucks Cross Keys,"13987 New Halls Ferry Rd, Florissant, MO 63033, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.8067683,-90.3013075,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Sierra Vista - Picadeli # 9905 / Customer # 216,DC,Schnucks Sierra Vista,"1589 Sierra Vista Plaza, St. Louis, MO 63138, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7716218,-90.2194834,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Edwardsville - Picadeli # 9902 / Customer # 229,DC,Schnucks Edwardsville,"2222 Troy Rd, Edwardsville, IL 62025, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7857157,-89.9485295,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Rockford Plaza - Picadeli # 9913 / Customer # 754,DC,Schnucks Rockford Plaza,"2642 Charles Street, Rockford, IL 61108, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.2614113,-89.0537333,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Richmond Center - Picadeli # 9900 / Customer # 272,DC,Schnucks Richmond Center,"6600 Clayton Rd, Clayton, MO 63117, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6335518,-90.3154410,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks East State - Picadeli # 9912 / Customer # 750,DC,Schnucks East State,"6410 E. State Street, Rockford, IL 61108, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.2703479,-88.9919352,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Providence - Picadeli # 9910 / Customer # 307,DC,Schnucks Providence,"111 S. Providence Rd , Columbia , MO 65203, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.9501582,-92.3356652,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Eureka - Picadeli # 9824 / Customer # 196,DC,Schnucks Eureka,"245 E 5th Street, Eureka, MO 63025, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5067740,-90.6198969,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Woods Mill - Picadeli # 9837 / Customer # 142,DC,Schnucks Woods Mill,"1060 Woods Mill Rd, Town and Country, MO 63017, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6230103,-90.5137021,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Lindenwood - Picadeli # 9838 / Customer # 176,DC,Schnucks Lindenwood,"1900 1st Capitol Drive, St. Charles, MO 63301, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7823728,-90.5010822,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Savoy - Picadeli # 10403 / Customer # 730,DC,Schnucks Savoy,"1301 Savoy Plaza Lane, Savoy, IL 61874, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.0705142,-88.2520503,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Champaign - Picadeli # 9911 / Customer # 707,DC,Schnucks Champaign,"109 N. Mattis Rd, Champaign, IL 61821, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.1170124,-88.2788105,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Crestwood - Picadeli # 9864 / Customer # 266,DC,Schnucks Crestwood,"9540 Watson Rd, St. Louis , MO 63126, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5571789,-90.3787595,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Montvale - Picadeli # 10192 / Customer # 717,DC,Schnucks Montvale,"2801 Chatham Rd, Springfield, IL 62704, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",39.7679371,-89.6883417,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Loves Park - Picadeli # 10161 / Customer # 753,DC,Schnucks Loves Park,"1810 Harlem Rd, Loves Park, IL 61111, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.3414381,-89.0306403,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Urbana - Picadeli # 10193 / Customer # 720,DC,Schnucks Urbana,"200 N Vine Street, Urbana , IL 61802, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.1137976,-88.2038102,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Brentwood - Picadeli # 10209 / Customer # 104,DC,Schnucks Brentwood,"8800 Manchester Rd, Brentwood , MO 63144, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6114876,-90.3504199,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Hampton Village - Picadeli # 10197 / Customer # 258,DC,Schnucks Hampton Village,"60 Hampton Village Plaza, St. Louis , MO 63109, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5922139,-90.2924057,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Chesterfield - Picadeli # 10203 / Customer # 133,DC,Schnucks Chesterfield,"141 Hilltown Village Center, Chesterfield, MO 63017, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6589367,-90.5531968,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Des Peres - Picadeli # 10200 / Customer # 209,DC,Schnucks Des Peres,"12332 Manchester Rd, Des Peres, MO 63131, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6015031,-90.4421284,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Dorsett - Picadeli # 10201 / Customer # 117,DC,Schnucks Dorsett,"2030 Dorsett Rd, Maryland Heights, MO 63043, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7159839,-90.4563135,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Belleville West - Picadeli # 10206 / Customer # 115,DC,Schnucks Belleville West,"5720 North Belt West, Belleville, IL 62223, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5408134,-90.0344032,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Butler Hill - Picadeli # 10194 / Customer # 105,DC,Schnucks Butler Hill,"4333 Butler Hill Rd, St. Louis, MO 63128, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.4867469,-90.3580665,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Swansea - Picadeli # 10207 / Customer # 120,DC,Schnucks Swansea,"2665 N. Illinois Street, Swansea, IL 62226, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5424587,-89.9851346,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Cape Girardeau - Picadeli # 10198 / Customer # 702,DC,Schnucks Cape Girardeau,"19 S Kingshighway, Cape Girardeau, MO 63703, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",37.3051899,-89.5540965,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Lawndale - Picadeli # 10210 / Customer # 708,DC,Schnucks Lawndale,"5000 Washington Ave, Evansville, IN 47715, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",37.9628829,-87.4905727,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Darmstadt - Picadeli # 10211 / Customer # 742,DC,Schnucks Darmstadt,"600 E Boonville-New Harmony Rd, Evansville , IN 47725, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.0956439,-87.5529435,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Union - Picadeli # 10212 / Customer # 371,DC,Schnucks Union,"401 Central Avenue, Union, MO 63084, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.4559180,-91.0049291,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Roscoe - Picadeli # 10162 / Customer # 756,DC,Schnucks Roscoe,"4860 Hononegah Rd, Roscoe, IL 61073, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.4325116,-89.0201714,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Richardson Road - Picadeli # 10195 / Customer # 127,DC,Schnucks Richardson Road,"3900 Vogel Rd, Arnold, MO 63010, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.4160438,-90.3946290,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Webster Groves - Picadeli # 10199 / Customer # 136,DC,Schnucks Webster Groves,"8650 Big Bend Blvd, St. Louis, MO 63119, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5827780,-90.3567484,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Lake St. Louis - Picadeli # 10204 / Customer # 135,DC,Schnucks Lake St. Louis,"101 Civic Center Dr, Lake St Louis, MO 63367, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7846565,-90.7968239,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Affton - Picadeli # 10202 / Customer # 137,DC,Schnucks Affton,"10070 Gravois Rd, St. Louis, MO 63123, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5491995,-90.3363070,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Washington - Picadeli # 10213 / Customer # 719,DC,Schnucks Washington,"2073 Washington Crossing, Washington, MO 63090, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5359743,-91.0082167,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Wentzville Crossing - Picadeli # 10214 / Customer # 725,DC,Schnucks Wentzville Crossing,"1960 Wentzville Pkwy, Wentzville, MO 63385, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.8145954,-90.8736953,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Godfrey - Picadeli # 10208 / Customer # 269,DC,Schnucks Godfrey,"2712 Godfrey Rd, Godfrey, IL 62035, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.9234722,-90.1940025,38.7385230,-90.3304905,38.6534191,-90.1888562
Maryville University - Picadeli # 10215 / Customer # 60652,DSD,Maryville University,"650 Maryville University Drive , St. Louis, MO 63141, USA","650 Maryville University Dr, Town and Country, MO 63141","72 Produce Row, St Louis, MO 63102",38.6453414,-90.5057015,38.6453414,-90.5057015,38.6534191,-90.1888562
Crop's Fresh Marketplace - Picadeli # 10269 / Customer # 20848,DSD,Crop's Fresh Marketplace,"1257 Horseshoe Pike , Downingtown, PA 19335, USA","1257 Horseshoe Pike, Downingtown, PA 19335","400 Wabash Road, Ephrata, PA 17522",40.0370769,-75.7683995,40.0370769,-75.7683995,40.2076711,-76.1532554
Schnucks Cherry Valley - Picadeli # 10424 / Customer # 747,DC,Schnucks Cherry Valley,"2206 Barnes Blvd, Rockford, IL 61112, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",42.2431076,-88.9775845,38.7385230,-90.3304905,38.6534191,-90.1888562
Coborn's Sauk Rapids - Picadeli # 10668 / AWG # 7401 / Customer # 2001,DC,Coborn's Sauk Rapids,"110 1st St S SAUK RAPIDS, S Sauk Rapids, MN 56379, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.5873786,-94.1637517,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Clearwater - Picadeli # 11044 / AWG # 7405 / Customer # 2008,DC,Coborn's Clearwater,"705 County Road 75 NW, Clearwater, MN 55320, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.4154858,-94.0524504,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Princeton - Picadeli # 10752 / AWG # 7408 / Customer # 2019,DC,Coborn's Princeton,"1100 7th Ave South, Princeton, MN 55371, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.5590440,-93.5833187,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Elk River - Picadeli # 10751 / AWG # 7410 / Customer # 2023,DC,Coborn's Elk River,"19425 Evans St NW, Elk River, MN 55330, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.3190581,-93.5574733,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Albertville - Picadeli # 10898 / AWG # 7415 / Customer # 2029,DC,Coborn's Albertville,"5698 La Centre Ave NE, Albertville, MN 55301, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.2334181,-93.6625184,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Ramsey - Picadeli # 10753 / AWG # 7419 / Customer # 2033,DC,Coborn's Ramsey,"7900 Sunwood Dr NW, Ramsey, MN 55303, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.2346948,-93.4684197,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Isanti - Picadeli # 11051 / AWG # 7427 / Customer # 2046,DC,Coborn's Isanti,"209 6th Avenue Northeast, Isanti, MN 55040, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.4909715,-93.2351954,45.4579260,-94.1098870,38.6534191,-90.1888562
Coborn's Otsego - Picadeli # 10755 / AWG # 7429 / Customer # 2047,DC,Coborn's Otsego,"15700 88th St NE, Ostego, MN 55330, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.2801230,-93.5673082,45.4579260,-94.1098870,38.6534191,-90.1888562
Marketplace Foods Rice Lake - Picadeli # 11052 / AWG # 7449 / Customer # 2580,DC,Marketplace Foods Rice Lake,"330 S Main St, Rice Lake, WI 54868, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.4954096,-91.7352927,45.4579260,-94.1098870,38.6534191,-90.1888562
Cash Wise Willmar - Picadeli # 10756 / AWG # 7430 / Customer # 3004,DC,Cash Wise Willmar,"1300 5th St Southeast, Willmar, MN 56201, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.1100117,-95.0400405,45.4579260,-94.1098870,38.6534191,-90.1888562
Cash Wise Waite Park - Picadeli # 10671 / AWG # 7431 / Customer # 3009,DC,Cash Wise Waite Park,"113 South Waite Avenue, Waite Park, MN 56387, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.5512104,-94.2152841,45.4579260,-94.1098870,38.6534191,-90.1888562
Cash Wise Hutchinson - Picadeli # 11059 / AWG # 7432 / Customer # 3011,DC,Cash Wise Hutchinson,"1020 Highway 15 South, Hutchinson, MN 55350, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",44.8775050,-94.3791638,45.4579260,-94.1098870,38.6534191,-90.1888562
Cash Wise Fargo - 13th Ave - Picadeli # 10758 / AWG # 7433 / Customer # 3012,DC,Cash Wise Fargo - 13th Ave,"1401 33rd St South, Fargo, ND 58103, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8590758,-96.8339833,45.4579260,-94.1098870,38.6534191,-90.1888562
Cash Wise Dickinson - Picadeli # 10760 / AWG # 7441 / Customer # 3044,DC,Cash Wise Dickinson,"1761 3rd Avenue West, Dickinson, ND 58601, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.9014550,-102.7921644,45.4579260,-94.1098870,38.6534191,-90.1888562
Tadych's Marquette - Picadeli # 10762 / AWG # 7462 / Customer # 2751,DC,Tadych's Marquette,"1401 Odovero Dr, Marquette, MI 49855, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.5422755,-87.4239962,45.4579260,-94.1098870,38.6534191,-90.1888562
Tadych's Houghton - Picadeli # 11058 / AWG # 7463 / Customer # 2753,DC,Tadych's Houghton,"1000 West Sharon Ave, Houghton, MI 49931, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",47.1146194,-88.5901092,45.4579260,-94.1098870,38.6534191,-90.1888562
Weis Markets Parkville - Picadeli # 10779 / Customer # 87,DC,Weis Markets Parkville,"9613 Harford Road, Parkville, MD 21234, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.3955572,-76.5224479,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets Baltimore - Picadeli # 10780 / Customer # 89,DC,Weis Markets Baltimore,"1080 Maiden Choice Lane, Baltimore, MD 21229, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.2608466,-76.6959952,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets York - Picadeli # 10781 / Customer # 104,DC,Weis Markets York,"2065 Springwood Road, York, PA 17403, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.9410945,-76.6921228,40.9886013,-76.8531525,40.2076711,-76.1532554
